author_display,title_display
United States. Health Services Administration. Supply Service Center.,Medical supply catalog
"Reister, Frank A.",Medical statistics in World War II
United States. Congress. Senate. Committee on Veterans' Affairs. Subcommittee on Compensation and Pension.,"Veterans and survivors pension reform act : hearings before the Subcommittee on Compensation and Pensions of the Committee on Veterans' Affairs, United States Senate, Ninety-fourth Congress, first session, on S. 2635 and related bills, November 18 and December 2, 1975"
United States. Army Medical Department (1968- ). Historical Unit.,Preventive medicine in World War II.
United States. Department of the Army.,"Army Training and Evaluation Program for maintenance battalion, general support"
United States. Bureau of Labor Statistics,"Industry wage survey : cigarette manufacturing, May 1976"
Center of Military History.,Internal medicine in Vietnam
United States. Federal Insurance Administration.,"Flood insurance study : town of Bristol, Indiana, Elkhart County"
"",Jobs for which you can qualify if you're not a high school graduate
United States. Congress. House. Committee on Appropriations. Subcommittee on Military Construction Appropriations.,"Military construction appropriations for 1981 : hearings before a subcommittee of the Committee on Appropriations, House of Representatives, Ninety-sixth Congress, second session"
Oak Ridge National Laboratory. Energy Division.,Energy Division annual progress report
"Lee, W. David.",Development of a high efficiency automatic defrosting refrigerator/freezer : phase I--design and development
Oak Ridge National Laboratory. Analytical Chemistry Division.,Analytical Chemistry Division annual progress report for period ending ...
"","Geological and geochemical aspects of uranium deposits : a selected, annotated bibliography"
Oak Ridge National Laboratory. Industrial Safety and Applied Health Physics Division.,Industrial Safety and Applied Health Physics annual report for ...
Oak Ridge National Laboratory. Solid State Division.,Solid State Division progress report
Oak Ridge National Laboratory. Chemical Technology Division. Advanced Technology Section.,Advanced Technology Section semiannual progress report
"",Investigation of low cost solar cells based on Cu₂0.
United States. Congress. House. Committee on Foreign Affairs. Subcommittee on Africa.,"Food needs in East Africa : hearing before the Subcommittee on Africa of the Committee on Foreign Affairs, House of Representatives, Ninety-sixth Congress, second session, June 19, 1980"
United States. Congress. House. Committee on Appropriations. Subcommittee on Military Construction Appropriations.,"Military construction appropriations for 1982 : hearings before a subcommittee of the Committee on Appropriations, House of Representatives, Ninety-seventh Congress, first session"
"",Occupational outlook for college graduates : excerpts from the ... Occupational outlook handbook
"Bonzon, Lloyd L.",Evaluation of simulator adequacy for the radiation qualification of safety-related equipment
"Mitra, S. (Sati)",A study of the implications of applying quantitative risk criteria in the licensing of nuclear power plants in the United States
"Kazarians, M.",Fire risk analysis for nuclear power plants
"Siu, N. O. (Nathan O.)",Probabilistic models for the behavior of compartment fires
"Coppola, A.",A risk comparison
"",Engineering and design Army airfield rigid pavement evaluation
United States. Congress. Senate. Committee on Environment and Public Works.,"A Legislative history of the Endangered Species Act of 1973, as amended in 1976, 1977, 1978, 1979, and 1980 : together with a section-by-section index"
"Stuetzer, Otmar M.",Electrical insulators in a reactor accident environment
"Lowry, W. E.",Final results of the hydrogen igniter experimental program
"",Data of geochemistry
United States. Congress. House. Committee on Public Works.,Revised table for apportioning 1984 fiscal year funds for the national system of interstate and defense highways
"",South Coast and Curry sustained yield units ten-year timber management plan
"Ruggieri, N. G.",Investigation of distorted-geometry simulation of pool dynamics in horizontal-vent BWR containments
"Snell, W. G.","Technical basis for regulatory guide 1.145, ""Atmospheric dispersion models for potential accident consequence assessments at nuclear power plants"""
"",General medicine and infectious diseases
"Clough, Roger L. (Roger Lee), 1949-",Aging effects on fire-retardant additives in organic materials for nuclear plant applications
United States. Veterans Administration.,Exchange of medical information and sharing medical resources programs of the Veterans Administration for FY ...
"Boccio, J. L.",Requirements for establishing detector siting criteria in fires involving electrical materials
"Strenge, D. L.",Age-specific inhalation radiation dose commitment factors for selected radionuclides
"Bennett, David E.",Allowable shipment frequencies for the transport of toxic gases near nuclear power plants
"Lukens, Laurance L.",Nuclear power plant electrical cable damageability experiments
United States. Congress. Senate. Committee on Environment and Public Works.,"Fiscal year 1984 budget review : hearings before the Committee on Environment and Public Works, United States Senate, Ninety-eighth Congress, first session, February 15 and 17, 1983"
"Bander, T. J.",PAVAN : an atmospheric dispersion program for evaluating design basis accidental releases of radioactive materials from nuclear power stations
United States. Congress. House. Committee on Public Works and Transportation. Subcommittee on Investigations and Oversight.,"An examination of the water project construction backlog : joint hearing before the Subcommittee on Investigations and Oversight and the Subcommittee on Water Resources of the Committee on Public Works and Transportation, House of Representatives, Ninety-eighth Congress, first session, February 23, 1983"
United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Nuclear Regulation.,"Nuclear emergency planning : hearing before the Subcommittee on Nuclear Regulation of the Committee on Environment and Public Works, United States Senate, Ninety-eighth Congress, first session, April 15, 1983"
United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Environmental Pollution.,"Solid Waste Disposal Act Amendments of 1983 : hearings before the Subcommittee on Environmental Pollution of the Committee on Environment and Public Works, United States Senate, Ninety-eighth Congress, first session, on S. 757 ... June 8 and 9, 1983"
U.S. Nuclear Regulatory Commission. Office of Nuclear Regulatory Research. Division of Engineering Technology.,"Fire protection research program for the U.S. Nuclear Regulatory Commission, 1975-1981"
United States. Congress. Senate. Committee on Environment and Public Works.,"Infrastructure and jobs : hearings before the Committee on Environment and Public Works, United States Senate, Ninety-eighth Congress, first session"
"Bennett, David E.",Vulnerability of nuclear power plant structures to large external fires
"Vesely, W. E.",Measures of risk importance and their applications
"",Resolution of generic safety issues
"Fenton, D. L.",The Los Alamos National Laboratory/New Mexico State University Filter Plugging Test Facility : description and preliminary test results
"Martin, R. A.",Material transport analysis for accident-induced flow in nuclear facilities
"Bustard, Larry D.",The Effect of thermal and irradiation aging simulation procedures on polymer properties
"",CHAMPUS handbook
United States. Army Recruiting Command.,Personnel procurement REACT technical manual
"",Mitigating the impacts of stream alterations
"Siman-Tov, M.",Scenarios and analytical methods of UF₆ releases at NRC-licensed fuel cycle facilities
"Buckalew, William H.",Response of rubber insulation materials to monoenergetic electron irradiations
"Berlad, A. L.",Hydrogen combustion characteristics related to reactor accidents
"Hoy, H. C. (Harry C.)",Potentially damaging failure modes of high- and medium-voltage electrical equipment
"",National earthquake hazards reduction program : report to the United States Congress : overview
"",A Review of the Limerick Generating Station severe accident risk assessment : review of core-melt frequency
"Cline, Douglas D.","Investigation of twenty-foot separation distance as a fire protection method as specified in 10 CFR 50, appendix R"
"Richards, Elizabeth H.",Hydrogen-burn survival experiments at fully instrumented test site (FITS)
"","Capacity utilization, manufacturing and materials"
United States. Congress. Senate. Committee on Environment and Public Works. Subcommittee on Toxic Substances and Environmental Oversight.,"Ground water contamination and protection : hearings before the Subcommittee on Toxic Substances and Environmental Oversight of the Committee on Environment and Public Works, United States Senate, Ninety-ninth Congress, first session"
"","Organizational, direct support, and general support maintenance repair parts and special tools list (including depot maintenance repair parts and special tools) : generator set, diesel engine driven, tactical skid MTD 10 kW, 1 phase-2 wire, 1 phase-3 wire, 3 phase-4 wire, 120, 120/240 and 120/208 volts : DoD model MEP-003A ... class utility ... hertz 60 ... 6115-00-465-1027"
"Blumberg, Barbara.","Celebrating the immigrant : an administrative history of the Statue of Liberty National Monument, 1952-1982"
United States. Congress. Senate. Committee on Environment and Public Works.,"Disposal of high-level nuclear waste : hearing before the Committee on Environment and Public Works, United States Senate, Ninety-ninth Congress, first session, October 30, 1985"
"",U.S. Geological Survey research in radioactive waste disposal
United States. Department of the Army.,"Board of Directors, Army and Air Force Exchange Service (AAFES)."
United States. Congress. Senate.,Report of the Secretary of the Senate
"",CPI detailed report
"",Firefighting and rescue procedures in theaters of operations
"",Water-resources investigations in Kansas
United States. Congress. House.,Rules adopted by the committees of the House of Representatives
Symposium on Coastal and Ocean Management.,Coastal zone ... : proceedings of the ... Symposium on Coastal Ocean Management
"",Section 8 report on damaged and threatened national historic landmarks
"",Statistical summary
"",Hawaiian Volcano Observatory summary
"",JPRS report
"Ellis, Earl H., 1880-1923.",Advanced base operations in Micronesia
"Brueckner, G. E. (Guenter E.)","A Program to study the Sun's interaction with the upper Earth atmosphere : to be flown on the UARS and ATLAS Missions, National Aeronautics and Space Administration"
"Chan, M. K.",User's manual for FIRIN : a computer code to estimate accidental fire and radioactive airborne releases in nuclear fuel cycle facilities
"",Free application for federal student aid
United States. President (1981-1989 : Reagan),"The budget of the U.S. government, FY 1990 : message from the President of the United States ...."
"Terrett, Dulany.",The Signal Corps : the emergency (to December 1941)
"","Compilation, Privacy Act issuances"
United States. Congress. House. Committee on Government Reform and Oversight. Subcommittee on Civil Service.,"FEHBP/CHAMPUS : improving access to health care for military families : hearing before the Subcommittee on Civil Service of the Committee on Government Reform and Oversight, House of Representatives, One Hundred Fourth Congress, first session, September 12, 1995"
Center for Space Microelectronics Technology (Jet Propulsion Laboratory),Technical report
"United States. Congress. House. Committee on Government Reform and Oversight. Subcommittee on Government Management, Information, and Technology.","The National Performance Review : hearing before the Subcommittee on Government Management, Information, and Technology of the Committee on Government Reform and Oversight, House of Representatives, One Hundred Fourth Congress, first session, May 2, 1995"
"",Agricultural research
United States. Congress. House. Committee on Government Reform and Oversight. Subcommittee on Human Resources and Intergovernmental Relations.,"The federalism debate : why doesn't Washington trust the states? : hearing before the Subcommittee on Human Resources and Intergovernmental Relations of the Committee on Government Reform and Oversight, House of Representatives, One Hundred Fourth Congress, first session, July 20, 1995"
"Pratt, Joanne H.",Counting the new mobile workforce
"Wall, Gary R. (Gary Robert), 1967-","Pesticides in surface waters of the Hudson River basin, New York and adjacent states"
"",Comprehensive Nuclear Test-Ban Treaty
"","Coal geology of the Paleocene-Eocene Calvert Bluff Formation (Wilcox Group) and the Eocene Manning Formation (Jackson Group) in east-central Texas field trip guidebook for the Society for Organic Petrology, Twelfth Annual Meeting, The Woodlands, Texas, August 30, 1995"
"",National compensation survey
"Boesel, David.",Educational and labor market performance of GED recipients
"Boesel, David.",Educational and labor market performance of GED recipients : executive summary
"","Background note, Hong Kong"
"",Balancing dynamic strength of spur gears operated at extended center distance
"",American FactFinder
"Savage, D. Keith,","50th commemorative anniversary of the United States Air Force Dental Service, 1949-1999"
"",National compensation survey
"",National compensation survey
"",National compensation survey
Geological Survey (U.S.),"Map[s] showing locations of damaging landslides in ... County, California, resulting from 1997-98 El Niño rainstorms"
"",Airman
"",PTO today
"",Science findings
United States. Congress. Senate. Committee on Environment and Public Works.,"Successful state environmental programs : hearing before the Committee on Environment and Public Works, United States Senate, One Hundred Sixth Congress, second session on oversight of programs delegated by the EPA to state departments of environmental protection, May 2,2000"
"United States. Congress. Senate. Committee on Appropriations. Subcommittee on Departments of Labor, Health and Human Services, Education, and Related Agencies.","Suicide awareness and prevention : hearing before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Sixth Congress, second session, special hearing, February 8, 2000, Washington, DC."
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",Subsonic investigation of a leading-edge boundary layer cont[r]ol suction system on a high-speed civil transport configuration
"",The third branch
"",GPO Access training manual
"",US Army Small Business Innovation Research commercialization
"",Criminal victimization in United States : statistical tables
"",Criminal victimization
"",What is the state of the environment in the Mid-Atlantic region?
"",GPO Access training manual
"Smith, Stephen W.",Fatigue crack growth characteristics of thin sheet titanium alloy Ti 6-2-2-2-2
"Zhu, Dongming.",Thermal conductivity and thermal gradient cyclic behavior of refractory silicate coatings on SiC/SiC ceramic matrix composites
"Heidmann, James D.",Coarse grid modeling of turbine film cooling flows using volumetric source terms
"Abdul-Aziz, Ali.",Design evaluation using finite element analysis of cooled silicon nitride plates for a turbine blade application
"Schuster, D. M. (David M.)",Aerodynamic measurements on a large splitter plate for the Langley Transonic Dynamics Tunnel
"Rizzi, Stephen A. (Stephen Anthony)",Improved equivalent linearization implementations using nonlinear stiffness evaluation
"Gerhold, Carl H.",Database of inlet and exhaust noise shielding for wedge-shaped airframe
"",Gust acoustic response of a swept rectilinear cascade using the space-time CE/SE method
"",Army SBIR accomplishments
"",Profile
"Seasholtz, Richard G.",Rayleigh scattering diagnostic for dynamic measurement of velocity fluctuations in high speed jets
"",Design and integration of a rotor alone nacelle for acoustic fan testing
"",The Burden of chronic diseases and their risk factors
"",Web-based distributed simulation of aeronautical propulsion system
"","Battlefield damage assessment and repair for helicopter, attack, AH-64A Apache (NSN 1520-01-106-9519) (EIC:RHA)."
"Zhu, Dongming.",Thermal fatigue and fracture behavior of ceramic thermal barrier coatings
"United States. Congress. Senate. Committee on Health, Education, Labor, and Pensions. Subcommittee on Public Health.","The crisis in children's dental health : a silent epidemic : hearing before the Subcommittee on Public Health of the Committee on Health, Education, Labor, and Pensions, United States Senate, One Hundred Seventh Congress, second session on examining the crisis in children's dental health, focusing on creating an effective oral health infrastructure, increase access to dental care, and related provisions of S. 1626, to provide disadvantaged children with access to dental services, June 25, 2002"
Geological Survey (U.S.),"Park Spring quadrangle, North Carolina--Caswell Co. : 7.5 minute series (topographic)"
"",Water logs
"",2001 National Survey of Veterans (NSV) : final report
United States. Congress. House.,Statement of disbursements of the House as compiled by the Chief Administrative Officer from ...
"Sasscer, R. Scott (Richard Scott), 1933-",U.S. Geological Survey Library classification system
"Siddiqi, Asif A., 1966-","Deep space chronicle : a chronology of deep space and planetary probes, 1958-2000"
United States. Congress. Senate. Committee on Armed Services.,"Report on the activities of the Committee on Armed Services, United States Senate"
"",Profile
United States. Internal Revenue Service.,"Partner's instructions for schedule K-1 (Form 1065), partner's share of income, credits, deductions, etc. (for partner's use only)."
"",Indicators of school crime and safety
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",National compensation survey
"",Monthly statistical release
"",The state of small business a report of the president
United States. Congress. House. Committee on Science.,"The Assistance to Firefighters Grant Program : a view from upstate New York : field hearing before the Committee on Science, House of Representatives, One Hundred Eighth Congress, second session, June 21, 2004"
United States. Congress. Senate. Committee on Appropriations. Subcommittee on District of Columbia.,"Structural imbalance of the District of Columbia : hearing before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Eighth Congress, second session, special hearing, June 22, 2004, Washington, DC."
"","Integrated investigations of environmental effects of historical mining in the Basin and Boulder mining districts, Boulder River Watershed, Jefferson County, Montana"
"United States. Congress. Senate. Committee on Appropriations. Subcommittee on State, Foreign Operations, and Related Programs.","State, foreign operations, and related programs appropriations for fiscal year 2006 : hearings before a subcommittee of the Committee on Appropriations, United States Senate, One Hundred Ninth Congress, first session, on H.R. 3057, an act making appropriations for foreign operations, export financing, and related programs for the fiscal year ending September 30, 2006, and for other purposes"
"","Capacity utilization in manufacturing, quarterly averages, seasonally adjusted"
"",Citizens helping fire & EMS
"",National park owner's manual for new citizens of the United States of America
United States. Congress. Senate. Committee on Appropriations.,"Supplemental appropriations for fiscal year 2007 : hearing before the Committee on Appropriations, United States Senate, One Hundred Tenth Congress, first session, special hearing, February 27, 2007, Washington, DC."
United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Energy and Air Quality.,"Status of the Yucca Mountain Project : hearing before the Subcommittee on Energy and Air Quality of the Committee on Energy and Commerce, House of Representatives, One Hundred Ninth Congress, second session, March 15, 2006"
"","Background note, Georgia"
"","Background note, Papua New Guinea"
United States. Congress. Senate. Committee on Appropriations.,"Supplemental appropriations for fiscal year 2006 : hearings before the Committee on Appropriations, United States Senate, One Hundred Ninth Congress, second session, special hearings, March 7, 2006, Washington, DC, March 8, 2006, Washington, DC, March 9, 2006, Washington DC."
United States. Congress. House. Committee on Government Reform. Subcommittee on the Federal Workforce and Agency Organization.,"Telecommuting : a 21st century solution to traffic jams and terrorism : hearing before the Subcommittee on the Federal Workforce and Agency Organization of the Committee on Government Reform, House of Representatives, One Hundred Ninth Congress, second session, July 18, 2006"
"",The national security strategy of the United States of America
"Booth, Derek B.","Geologic map of the Des Moines 7.5ʹ quadrangle, King County, Washington"
"","Fall school enrollment approximately 53.8 million (advance data, October 1965 survey)."
"",School enrollment in the United States : October 1973
"",College plans of high school seniors : October 1974
"","Men with college degrees : March 1967 (advance data, March 1967 survey)."
"","School enrollment, and education of young adults and their fathers : October 1960"
"","School enrollment increases 17 percent : 1958 to 1963 (advance data, October 1963 survey)."
"",Gypsy moth management in the United States : a cooperative approach : draft supplemental environmental impact statement
"",CPI detailed report
"",The world factbook
"Johnson, Charles Eyerdal, 1930-",Factors related to high school graduation and college attendance : 1967
"Johnson, Charles Eyerdal, 1930-",Characteristics of students and their colleges : October 1966
"Littman, Mark S.",Nursery school and kindergarten enrollment : October 1973
"",Cáncer de pulmón
"",Occupational outlook handbook
"","Analysis of total food intake and composition of individual's diet based on USDA's 1994-1996, 1998 Continuing Survey of Food Intakes by Individuals (CSFII)."
"Hyson, John M., 1927-",A history of dentistry in the US Army to World War II
United States. Congress. House. Committee on Appropriations.,"National Science Foundation : hearings before the subcommittee of the Committee on Appropriations, Eighty-fifth Congress, first session Subcommittee on Independent Offices Albert Thomas, Texas, Chairman Sidney R. Yates, Illinois Charles W. Vursell, Illinois Joe L. Evins, Tennessee Harold C. Ostertag, New York Edward P. Boland, Massachusetts Charles Raper Jonas, North Carolina G. Homer Skarin, Staff Assistant to subcommittee report on International Geophysical Year"
"","Law memoranda upon civil aeronautics : printed for the use of the Committee on Interstate and Foreign Commerce, House of Representatives, January 31, 1923"
United States. Congress. House. Office of the Legislative Counsel.,"Civil aeronautics : legislative history of the Air commerce act of 1926, approved May 20, 1926, together with miscellaneous legal materials relating to civil air navigation. Revision of the 1923 ed. of Law memoranda upon civil aeronautics. Cor. to August 1, 1928"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"To create a civil aeronautics authority : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, third session, on H.R. 9738, to create a civil aeronautics authority, to provide for the regulation of civil aeronautics, and for other purposes : March 10, 11, 22, 23, 24, 25, 29, 30, 31 and April 1, 1938"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Merchant airship bill : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-second Congress, first session, on H.R. 8681, March 10, 11, 1932"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Air commerce act, 1926 : hearings before a subcommittee of the Committee on Interstate and Foreign Commerce, Seventy-third Congress, second session on, H.R. 9599, a bill to amend the Air commerce act of 1926 and to increase the efficiency of the Aeronautics branch of the Department of Commerce with respect to the development and regulation of civil aeronautics, May 30 and June 1, 1934"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Training of civil aircraft pilots : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-sixth Congress, first session, on H.R. 5073, a bill to provide for the training of civil aircraft pilots, and for other purposes, March 20 and 27, 1939"
